--------- beginning of main
01-13 00:39:53.991  4423  4511 D SnpeWhyDistractionNativ: destroyNativeObject: Destroyed why-distraction native object
--------- beginning of system
01-13 00:40:25.712  4704  4817 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 00:40:35.307  4704  4817 D SnpeWhyDistractionNativ: Frame number: 100, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:35.388  4704  4817 D SnpeWhyDistractionNativ: Frame number: 101, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:35.507  4704  4817 D SnpeWhyDistractionNativ: Frame number: 102, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.6375558, 0.0, 0.0], modelConfidence = [0.71767634, 0.0, 0.0]
01-13 00:40:35.602  4704  4817 D SnpeWhyDistractionNativ: Frame number: 103, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:35.697  4704  4817 D SnpeWhyDistractionNativ: Frame number: 104, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:35.841  4704  4817 D SnpeWhyDistractionNativ: Frame number: 105, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.49652645, 0.0, 0.0], modelConfidence = [0.8078326, 0.0, 0.0]
01-13 00:40:35.908  4704  4817 D SnpeWhyDistractionNativ: Frame number: 106, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:35.987  4704  4817 D SnpeWhyDistractionNativ: Frame number: 107, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:36.137  4704  4817 D SnpeWhyDistractionNativ: Frame number: 108, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.59727395, 0.0, 0.0], modelConfidence = [0.7314155, 0.0, 0.0]
01-13 00:40:36.203  4704  4817 D SnpeWhyDistractionNativ: Frame number: 109, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:36.290  4704  4817 D SnpeWhyDistractionNativ: Frame number: 110, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:36.438  4704  4817 D SnpeWhyDistractionNativ: Frame number: 111, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.64194375, 0.0, 0.0], modelConfidence = [0.671517, 0.0, 0.0]
01-13 00:40:36.504  4704  4817 D SnpeWhyDistractionNativ: Frame number: 112, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:36.594  4704  4817 D SnpeWhyDistractionNativ: Frame number: 113, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:36.733  4704  4817 D SnpeWhyDistractionNativ: Frame number: 114, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.5987504, 0.0, 0.0], modelConfidence = [0.7169061, 0.0, 0.0]
01-13 00:40:36.809  4704  4817 D SnpeWhyDistractionNativ: Frame number: 115, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:36.884  4704  4817 D SnpeWhyDistractionNativ: Frame number: 116, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:37.038  4704  4817 D SnpeWhyDistractionNativ: Frame number: 117, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.33564785, 0.0, 0.0], modelConfidence = [0.89532894, 0.0, 0.0]
01-13 00:40:37.102  4704  4817 D SnpeWhyDistractionNativ: Frame number: 118, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:37.192  4704  4817 D SnpeWhyDistractionNativ: Frame number: 119, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:37.303  4704  4817 D SnpeWhyDistractionNativ: Frame number: 120, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.34281418, 0.0, 0.0], modelConfidence = [0.8962611, 0.0, 0.0]
01-13 00:40:37.407  4704  4817 D SnpeWhyDistractionNativ: Frame number: 121, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:37.493  4704  4817 D SnpeWhyDistractionNativ: Frame number: 122, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
